36,福島ノア,Photon Maiden,CuteBringer,エレガント,8710,9695,8537,26942,20,3
37,瀬戸リカ,merm4id,アゲアゲSt4ge,ストリート,10240,8820,9932,28992,20,3
38,水島茉莉花,merm4id,ドキドキHugme,クール,9896,8355,8905,27156,20,3
39,日高さおり,merm4id,ハラハラScra+ch,パーティ,8413,10515,8811,27739,20,3
40,松山ダリア,merm4id,アツアツD@ncer,エレガント,8142,9301,10185,27628,20,3
41,青柳椿,燐舞曲,心穿つ熱唱,パーティ,8922,10285,9808,29015,20,3
42,月見山渚,燐舞曲,過熱する独奏,キュート,8490,9767,8863,27120,20,3
43,矢野緋彩,燐舞曲,魅惑する舞踏,クール,10410,9325,8617,28352,20,3
44,三宅葵依,燐舞曲,歓楽紡ぐ指先,エレガント,8866,10178,9026,28070,20,3
45,桜田美夢,Lyrical Lily,さらさらシャイン,パーティ,10692,8384,9196,28272,20,3
46,春日春菜,Lyrical Lily,まことに人生、DJ御寮,キュート,9985,9087,9656,28728,20,3
47,白鳥胡桃,Lyrical Lily,ヒラヒラポプラ,ストリート,8540,8681,9976,27197,20,3
48,竹下みいこ,Lyrical Lily,ゆらゆらスカーツ,クール,10338,9054,8671,28063,20,3
49,山手響子,Peaky P-key,飛翔-HEART BEAT,ストリート,11302,10606,11463,33371,40,4
50,出雲咲姫,Photon Maiden,Midnight White Cat,ストリート,11120,11885,10470,33475,40,4
51,新島衣舞紀,Photon Maiden,Female Leopard,ストリート,9231,8541,10575,28347,25,3
52,犬寄しのぶ,Peaky P-key,挑発-CUTE DEVIL,ストリート,9057,10668,9049,28774,25,3
53,渡月麗,Happy Around,Birthday,キュート,13046,11070,10677,34793,50,4
54,愛本りんく,Happy Around,Fancy◎サプライズ,エレガント,12143,10636,11344,34123,40,4
55,桜田美夢,Lyrical Lily,素敵なティーパーティ,エレガント,11207,12316,10798,34321,40,4
56,大鳴門むに,Happy Around,Candy◎パラダイス,エレガント,9222,10162,8978,28362,25,3
57,春日春菜,Lyrical Lily,仕上げにキャラメルを,エレガント,9412,10092,8473,27977,25,3
58,白鳥胡桃,Lyrical Lily,Birthday,パーティ,10444,12387,11213,34044,50,4
59,瀬戸リカ,merm4id,トドケTlonging,クール,11429,10911,11786,34126,40,4
60,青柳椿,燐舞曲,蒼月に浮かぶ憧憬,クール,11437,12473,10808,34718,40,4
61,月見山渚,燐舞曲,黄昏を弾く指先,クール,10215,9394,8805,28414,25,3
62,松山ダリア,merm4id,メザシテHigher,クール,9180,8567,9557,27304,25,3
63,犬寄しのぶ,Peaky P-key,蠱惑-SECRET CAGE,パーティ,11581,12034,11906,35521,40,4
64,清水絵空,Peaky P-key,星彩-SWEET POISON,パーティ,12148,11083,12038,35269,40,4
65,山手響子,Peaky P-key,月光-LOOK AROUND,パーティ,9629,9132,8635,27396,25,3
66,笹子・ジェニファー・由香,Peaky P-key,凛然-ELEGANT LADY,パーティ,9655,8513,9134,27302,25,3
67,日高さおり,merm4id,Birthday,クール,11881,11036,11445,34362,50,4
68,水島茉莉花,merm4id,ヘブンズStairway,ストリート,11272,11185,11033,33490,40,4
69,松山ダリア,merm4id,キラメクBrave,ストリート,10809,11258,11320,33387,40,4
70,瀬戸リカ,merm4id,セカイヘJumping,ストリート,9414,9219,8982,27615,25,3
71,日高さおり,merm4id,ツナイデDancing,ストリート,9726,9914,8839,28479,25,3
72,笹子・ジェニファー・由香,Peaky P-key,Birthday,クール,11490,11630,10519,33639,50,4
73,桜田美夢,Lyrical Lily,Birthday,ストリート,11258,12062,11275,34595,50,4
74,春日春菜,Lyrical Lily,速く走れ、それ走れ,キュート,11296,11714,11487,34497,40,4
75,竹下みいこ,Lyrical Lily,今見たことは内緒です,キュート,11916,10971,11456,34343,40,4
76,桜田美夢,Lyrical Lily,橇は空へと舞い上がる,キュート,9652,9281,9360,28293,25,3
77,白鳥胡桃,Lyrical Lily,愉快な妖精のように,キュート,9013,8827,9582,27422,25,
78,福島ノア,Photon Maiden,Fantastic Lantern,クール,12008,11366,10629,34003,40,
79,月見山渚,燐舞曲,水を得た魚、撥ねる絃,クール,10520,10964,12514,33998,40,
80,清水絵空,Peaky P-key,幽幻-FOXY LADY,クール,9266,8802,9259,27327,25,
81,水島茉莉花,merm4id,トロケルSnowflake,クール,9986,9167,9243,28396,25,
82,明石真秀,Happy Around,新春万福◎2021！,パーティ,10953,10888,11721,33562,40,
83,大鳴門むに,Happy Around,笑門来福◎2021！,パーティ,11419,11216,11391,34026,40,
84,愛本りんく,Happy Around,陽光彩雲◎2021！,パーティ,9082,9219,9348,27649,25,
85,渡月麗,Happy Around,長楽萬年◎2021！,パーティ,9213,9275,9186,27674,25,
86,青柳椿,燐舞曲,Birthday,エレガント,11340,11382,11952,34674,50,
87,出雲咲姫,Photon Maiden,キリンα,エレガント,11524,11278,11932,34734,60,
88,新島衣舞紀,Photon Maiden,バンギスβ,エレガント,11249,12438,11038,34725,60,
89,福島ノア,Photon Maiden,EXウルムーα,エレガント,9722,9877,8867,28466,25,
90,花巻乙和,Photon Maiden,EX金色β,エレガント,9463,8854,9417,27734,25,
91,山手響子,Peaky P-key,EXカイザーβ,キュート,11588,11419,11739,34746,60,
92,笹子・ジェニファー・由香,Peaky P-key,オーグα,キュート,11716,11124,11898,34738,60,
93,犬寄しのぶ,Peaky P-key,EXエンプレスβ,キュート,9319,9187,9091,27597,25,
94,清水絵空,Peaky P-key,EXラヴィーナβ,キュート,8726,9382,9246,27354,25,
95,花巻乙和,Photon Maiden,Birthday,パーティ,11282,11555,11530,34367,50,
96,犬寄しのぶ,Peaky P-key,Birthday,クール,11884,11734,11028,34646,50,
97,三宅葵依,燐舞曲,誘い導く手,パーティ,11303,10815,12190,34308,40,
98,矢野緋彩,燐舞曲,薔薇色の微笑,パーティ,11256,11672,10342,33270,40,
99,青柳椿,燐舞曲,胸に秘める想い,パーティ,9258,9077,9353,27688,25,
100,月見山渚,燐舞曲,甘美なる誘惑,パーティ,9015,9067,9790,27872,25,
101,白鳥胡桃,Lyrical Lily,ぺこらうどすぴーかー,ストリート,10823,11041,11860,33724,40,
102,春日春菜,Lyrical Lily,あくあ色ラブハート,ストリート,12183,10804,11290,34277,40,
103,竹下みいこ,Lyrical Lily,煌めく光の紙フブキ,ストリート,9333,9017,8939,27289,25,
104,桜田美夢,Lyrical Lily,星街のデュエット,ストリート,9418,9095,9347,27860,25,
105,竹下みいこ,Lyrical Lily,Birthday,エレガント,10849,11673,11174,33696,50,
106,渡月麗,Happy Around,bubble◎ショータイム,クール,10859,10696,11710,33265,40,
107,水島茉莉花,merm4id,≠ﾗ≠ﾗshower,クール,10895,11253,11988,34136,40,
108,春日春菜,Lyrical Lily,清新なハレ舞台,クール,8860,9593,9616,28069,25,
109,花巻乙和,Photon Maiden,Dazzling Sunny Days,クール,9311,8960,8952,27223,25,
110,海原ミチル,その他,スーパーノヴァ,キュート,12461,12369,13037,37867,40,
111,大鳴門むに,Happy Around,Birthday,キュート,12221,10977,11058,34256,50,
112,福島ノア,Photon Maiden,Sweet cookie,キュート,11791,11314,10634,33739,40,
113,花巻乙和,Photon Maiden,Funny caramel,キュート,10962,11965,11788,34715,40,
114,出雲咲姫,Photon Maiden,Holic candy,キュート,9401,8628,9822,27851,25,
115,新島衣舞紀,Photon Maiden,Magic Macaroon,キュート,9395,9769,8595,27759,25,
116,月見山渚,燐舞曲,朧月の奏者,ストリート,11069,10884,12629,34582,40,
117,三宅葵依,燐舞曲,宵闇の貴公子,ストリート,12050,10949,11252,34251,40,
118,矢野緋彩,燐舞曲,天満月の踊子,ストリート,8825,9363,9441,27629,25,
119,青柳椿,燐舞曲,春宵の歌姫,ストリート,9233,8701,9461,27395,25,
120,矢野緋彩,燐舞曲,Birthday,キュート,11962,11345,10678,33985,50,
121,出雲咲姫,Photon Maiden,Splash Fever,パーティ,11134,11552,11099,33785,40,
122,瀬戸リカ,merm4id,マジヤバblast,パーティ,11123,11220,12287,34630,40,
123,日高さおり,merm4id,バクオンcrazy,パーティ,9673,9430,9408,28511,25,
124,福島ノア,Photon Maiden,Melty Smile,パーティ,9126,8735,9545,27406,25,
125,大鳴門むに,Happy Around,無二のチューリップ,エレガント,11710,12200,11090,35000,60,
126,花巻乙和,Photon Maiden,四つ葉のクローバー,エレガント,11660,10545,12795,35000,60,
127,福島ノア,Photon Maiden,燦爛たるあじさい,エレガント,12425,11650,10925,35000,60,
128,矢野緋彩,燐舞曲,一面のひまわり,エレガント,11155,12115,11730,35000,60,
129,春日春菜,Lyrical Lily,ご照覧カーネーション,エレガント,11885,11505,11610,35000,60,
130,新島衣舞紀,Photon Maiden,Birthday,キュート,11217,11010,12552,34779,50,
131,松山ダリア,merm4id,ゲキツヨFortune,キュート,11703,11602,11477,34782,40,
132,日高さおり,merm4id,イチゲキJACKPOT,キュート,10894,11257,11407,33558,40,
133,水島茉莉花,merm4id,コロガルDestiny,キュート,9444,9255,9580,28279,25,
134,瀬戸リカ,merm4id,テンアゲ777,キュート,9779,8971,9711,28461,25,
135,山手響子,Peaky P-key,Birthday,エレガント,11939,11934,11929,35802,50,
136,青柳椿,燐舞曲,あ,パーティ,11333,11333,11333,33999,40,
137,桜田美夢,Lyrical Lily,あ,パーティ,11333,11333,11333,33999,40,
